,sair_adi,baslik,siir_link,siir
10,Özdemir Asaf,Aşk Şarkısı,https://www.antoloji.com/ask-sarkisi-2-siiri/,"AŞK ŞARKISIEllerini ver, öpeceğim. Binlerce el içindeyim,  Şu beyaz çizgilerden gideceğim. Ellerini ver, ver ellerini.. Seni öldüreceğim.Gözlerinden gireceğim,  İçinde yer edeceğim. Sana oradan sesleneceğim;  Ellerini ver, ver ellerini.. Seni öldüreceğim.   Özdemir AsafKayıt Tarihi : 22.8.2001 00:23:00"
11,Sezai Karakoç,Donuk Aşk,https://www.antoloji.com/donuk-ask-siiri/,"Yine akşam oldu,  Yalnızlık omuzlarıma çivisini çaktı yine,  Uzaklık aynı gerçi,  Heryerdeyken olan uzaklığın pek değişmedi,  Yine akşam oldu orda olduğu gibi,  Görebiliyorum seni burdan da,  Aynısıydı ordayken de,  Uzaklıktan korkmuyorum belki de,  Orada da aynıydı uzaklık gerçi  Donuklaşmış oldu artık bu,  Bir o kadar da hüzünlü romanlar gibi,  Galiba ben baştan kaybetmişim,  Belki de ben baştan kazanmışım, insanlık kaybetmiş...   Sezai KarakoçKayıt Tarihi : 8.10.2002 21:31:00"
12,Yılmaz Erdoğan,Başkalaşan Aşk,https://www.antoloji.com/baskalasan-ask-siiri/,"Adını anmak güzeldi,  dost ağızlarda sana dair cümlelerin ıslatılması... Adını anmak... Yüksek sesle, kimsesiz gecelerin düşsel avuntularına sırt çevirip senden söz açmak... Biraz gülünç, biraz sitemkar... güzeldi... Adının Türkçedeki yankısı özeldi...Seninle yoğurt yemek, kendi Kanlıcanlı,  Sülalesi Kandilli yoğurtçunun mekanında... Denize amors durup, yüzüne cepheden bakmak güneşli bir mavilikte.... güzeldi..İpe sapa konuşlanmaz bahanelerle elini tutmak,  yüzünde Yüzyıllık bir hasreti gidermek güzeldi...Güzeldi'li geçmiş zamanları düşünüyorum şimdi... Cümlelerimiz öznesiz...Umursayan yok,  Kanlıca'daki yoğurdu...ve eşikteki öpücük, tarih bilinci olmayan bir aşkın mührüdür artık...   Yılmaz ErdoğanKayıt Tarihi : 9.6.2000 06:15:00"
13,Ceyhun Yılmaz,Aşk,https://www.antoloji.com/ask-78-siiri/,"bir tek senin görebileceğin bir yerden                                                  sana gülümsüyorum... onların duydukları kahkahalarım değil  aşkı tarif gerekirse sana  anlatayım aşk ne biliyor musun benim sana yaşadığım,  senin durmadan üstüne bastığın...   Ceyhun YılmazKayıt Tarihi : 18.3.2002 22:54:00"
14,Orhan Veli Kanık,Aşk Resmi Geçidi,https://www.antoloji.com/ask-resmi-gecidi-siiri/,"Birincisi o incecik, o dal gibi kiz, Simdi galiba bir tüccar karisi. Ne kadar sismanlamistir kim bilir. Ama yinede de görmeyi çok isterim, Kolay mi? ilk gözagrisi.Ikincisi Münevver Abla, benden büyük Yazip yazip bahçesine attigim mektuplari Gülmekten katilirdi, okudukça. Bense bugünmüs gibi utanirim O mektuplari hatirladikça.............................çikar ............................durduk mahallede ..........................................halde ...........................adlarimiz yan yana yazilirdi duvarlara .......................................yangin yerlerinde.Dördüncüsü azgin bir kadin, Açik saçik seyler anlatirdi bana. Bir gün de önümde soyunuverdi Yillar geçti aradan, unutamadim, Kaç defa rüyama girdi.Besinciyi geçip altinciya geldim Onun adi da Nurünnisa. Ah güzelim Ah esmerim Ah Canimin içi Nurünnisa.Yedincisi Aliye, kibar bir kadin Ama ben pek varamadim tadina, Bütün kibar kadinlar gibi, Küpe fiyatina, kürk fiyatina.Sekizincisi de o bokun soyu: Sen elin karisinda namus ara, Kendinde arandi mi, küplere bin. Üstelik kendinde de Yalanin düzenin bini bir para.Ayten'di dokuzuncunun adi, Barlarda göbek atar Is baisnda sunun bunun esiri, Ama bardan çikti mi, Kiminle isterse onunla yatar.Onuncusu akilli çikti Birakti gitti beni. Ama haksiz da degildi hani, Sevismek zenginlerin harciymis Issizlerin harciymis. Iki gönül bir olunca Samanlik seyranmis ama, Iki çiplak da - olsa olsa - Bir hamama yakisirmis.Isine bagli bir kadindi on birinci. Hos, olmasin da ne yapsin?  Bir zalimin yaninda gündelikçi;  Adi Luksandra Gece odama gelir, Sabaha kadar kalir. Konyak içer, sarhos olur, Sabahi da, isbasi yapardi safakla....Gelelim sonuncuya. Ona baglandigim kadar Hiçbirine baglanmadim. Sade kadin degil, insan. Ne kibarlik budalasi, Ne malda, mülkte gözü var. Esit olsak, der, Hür olsak, der. Insanlari sevmesini de bilir, Yasamayi sevdigi kadar.   Orhan Veli KanıkKayıt Tarihi : 24.8.2000 16:12:00"
15,Yunus Emre,Aşk Ateşi,https://www.antoloji.com/ask-atesi-siiri/,Girdim aşkın denizine bahrılayın yüzer oldum Geştediben denizleri Hızır'layın gezer oldumCemalini gördüm düşte çok aradım yazda kışta Bulamadım dağda taşta denizleri süzer oldumSordum deniz malikine ırak değil salığına Girdim gönül sınığına gönülleri düzer oldumViran gönlüm eyledim şar bunculayın şar nerde var Haznesinden aldım gevher dükkan yüzün bozar oldumBen ol dükkan-dar kuluyum gevherler ile doluyum Dost bağının bülbülüyüm budaktan gül üzer oldum Ol budakta biter iman iman bitse gider güman Dün gün isim budur heman nefsime bir Tatar oldum Canım bu tene gireli nazarım yoktur altına Düştüm ayaklar altına topraklayın tozar oldumTenim toprak tozar yolca nefsim iltir beni önce Gördüm nefsin burcu yüce kazma aldım kazar oldumKaza kaza indim yere gördüm nefsin yüzü kara Hümeti yok Peygamber'e bentlerini bozar oldumBu nefs ile dünya fani bu dünyaya gelen hanı Aldattın ey dünya beni işlerinden bezer oldumYunus sordu girdi yola kamu gurbetleri bile Kendi ciğerim kanıyla vasf-ı halim yazar oldum   Yunus EmreKayıt Tarihi : 10.8.2001 15:01:00
16,Yılmaz Erdoğan,Aşk Hayatı,https://www.antoloji.com/ask-hayati-siiri/,"Sevmek gibi geliyordu her şey, sevmek gibi gidiyordu kadın adının anlattığı,canın teni yakmasıydı, bir bulut evet ama aslolan bulutun suyu yağmasaydı...'bir insanı sevmekle başlıyordu her şey' ve boşanmak için en az iki şahit gerekiyordu   Yılmaz ErdoğanKayıt Tarihi : 9.6.2000 05:44:00"
17,Cahit Sıtkı Tarancı,Aşk Masalı,https://www.antoloji.com/ask-masali-2-siiri/,Nerde ne zaman bu hava çalınsa Hoş geldi geçmişteki güzel günler Nereye gidersen git günlük tasa Bırak biraz da şad olsun gönüllerBeşiktaş'ta gün görmüş bir bahçede Nisan akşamlarının en tatlısı Sevdiceğim on dördünü sürmede Bende gönüllerin en kanatlısıBen deli....................   Cahit Sıtkı TarancıKayıt Tarihi : 11.1.2001 20:08:00
18,Nurullah Genç,Aşk Ölümcül Bir Hülyadır,https://www.antoloji.com/ask-olumcul-bir-hulyadir-siiri/,"Hülya tatlı bir andır Süzülür dibine selvi ağaçlarının Zambakların, sevda çimenlerinin. Dağlarda duman duman tütüyor sıla Sıla da garibin omuzlarına Güvercin gibi konan Sadağında mumçiçeği serzeniş Mızrakları cazibesiyle kıran Saçları darmadağın Bitişik bir hicrandır. Ne fettan sarayların Bitişik cilvekar yalnızlığı Ne de bezirganları küçümseyen sultandır. Gezinir içimizde hülya tatlı bir andır. Ne gün başımı alıp gitsen karanlıklara Çıkıyor bir köşeden karşıma kelebekler Onlar da bir derbeder gibi mahrum öteden Onlar da tanyerine bakıp hülyayı bekler. Beyhude hekimlerin ülkesinde bir şehir Çıkmaz sokaklarını düşlerimize açan Bir sahura yıldızı gibi göklerde uçan Köpüksüz anıların sihriyle akan nehir Varlığı bestenigar, yokluğun deniz gibi Gönül,safkan bir vefa atlasında şahlanır. Asil fırtınalarda kaybolan bir iz gibi Çölde aşk suretinde bir ahu peydahlanır. Kum,yaldızlı giysiler içinde meşhur güzel  Ay öper eğilerek çölün yanaklarını Ufukların delisi, soluk bir deniz gibi Bir sayeban altında yürür hazinesine Kah takılır uzaktan bir belanın sesine Kah yüzü yıldızlara benzeyen bir rüyadır. Bin tepede bayrağı dalgalanır Leyla'nın Oysa aşk,karanlıkta ölümcül bir hülyadır.   Nurullah GençKayıt Tarihi : 13.8.2000 08:41:00"
19,Hasan Hüseyin Korkmazgil,Aşk Şiiri,https://www.antoloji.com/ask-siiri-2-siiri/,Sen aşk şiiri yazamazsın Hasan Hüseyin  Çünkü aşk şiirden önce gelir sende Oysa şiir önünde gitmelidir herşeyinSen aşk şiiri yazamazsın Hasan Hüseyin Çünkü aşk  Kavganın içindedir Çünkü sen  İçindesin kavganınElmayı kokusundan  Güvercini biçiminden soyutlamaktır Yaşamak denilen kavagyı aşksız düşünmekSen aşk şiiri yazamazsın Hasan Hüseyin  Çünkü sen  Gagasından tutup kuşu  Öt kuşum öt kuşum demiyorsun Çünkü sen Yedirip çiçekleri ineğe  Koklayıp gerisini ineğin  Kok çiçeğim kok çiçeğim demiyorsunÖpüşmek başka şeydir yiğidim  Öpüşmeyi düşünmek başka Sevişmek başka şeydir güzelim Sevişmeyi düşünmek başkaSende yaprak -iki gözüm- Sende yıldız -yürek sızım- Sende su Sende bu dört boyutlu kaçma tutkusu atlıkarıncadan geceleyin  Bakmaktır lunaparkaSen aşk şiiri yazamazın Hasan Hüseyin Çünkü sen ilkyaz yağmurlarında çırılçıplak Dolaşır gibi sıcak morlarda  İçer gibi morları Düşer gibi morlara Yaşarsın aşkı iliklerindeÇünkü sen iki düşman ucun bileşkesisin Acısısın kavuşmanın Ayrılmanın sevincisin Sen aşk şiiri yazamazsın Hasan HüseyinÇünkü aşkın  kendisidir şiirin  Oysa sen Oysa aşk Oysa sen Sen Sen aşk şiiri yazamazsın Hasan Hüseyin   Hasan Hüseyin KorkmazgilKayıt Tarihi : 17.11.2000 22:00:00
20,Yunus Emre,Aşk Bezirganı,https://www.antoloji.com/ask-bezirgani-siiri/,"Aşk bezirganı, sermaye canı Bahadır gördüm, cana kıyanıZehi bahadır can terkin urur Kılıç mı keser himmet giyeniKamusun bir gör, kemterin er gör Alu görmegil, palas giyeniTez çıkarırlar fevkal'ulaya Bin İsa gibi dünya yakanıTez indirirler tahtesseraya Bir Karun gibi dünya kovanıAşık olanın nişanı vardır Melamet olur belli beyanıZühdüm var deyu ta'n eylemegil Merdut ederler mağrur olanıİlmim var deyu mağrur olmagil Hak kabul etti kefen soyanıAtlası kodu, abalar geydi İbrahim Ethem Sırdan duyanıÇün Mansur gördü, Ol benem dedi Od'a yaktılar, işittik anıOd'a yandırdın, külün savurdun Öyle mi gerek Seni seveniZinhar ey Yunus, gördüm demegil Od'a yakarlar gördüm deyeni   Yunus EmreKayıt Tarihi : 13.3.2001 17:46:00"
21,Can Yücel,Aşk Çocuğu,https://www.antoloji.com/ask-cocugu-siiri/,"Pencerelerin kenarından Sarkmış tül perdeleri Pembe Evin Uçup uçup yüz sürüyorlar Karşı tepedeki manastırın selvilerineRüzgârla eğilip doğruldukça Sardunyalar, biberiyeler,  Hiç korkma Karada ölüm yok oğlum sana bugünLeylekler daldı birden göğün acentasına Gidip-gelme almak üzere Güneye hicret Sen de gel diyorlar kanatlarıyla,  El sallıyorum ben de yattığım yerden Leyleklere Leylim-Leylim Diye diye Güneşle karışık bir esinti geçiyor şakağımdan Uzatıyorum elimi denizden yeni çıkmış senin serinliğine,  Göğsümün, karnımın, kasıklarımın, bacaklarımın Tüyleri kamaşıyor sevinçtenUyanıyoruz sonra Dizine yatırıp beni çingene benlerimi sıkıyorsun Gümüşlü zurnası dikiliyor havaya çeribaşının Işıklar bir bahriye çiftetellisi çalıyor yüzümdeHay allah Yine tutuldum galiba Derken bir aşk çocuğu doğuyor Çırpınan denizin karnından Bu şiirAğlarken gülüyor Ve ağlıyor gülerek Tuzlu damlalarıyla güneşin,  Sözcükler yanıp yanıp sönerken Körpecik teninde Uzaylardan aparttığım yıldız bitleriyle.   Can YücelKayıt Tarihi : 9.4.2002 10:09:00"
22,Mevlana Celaleddin Rumi,Şehvetin Adını Aşk Koydular,https://www.antoloji.com/sehvetin-adini-ask-koydular-siiri/,Şehvetin adını Aşk Koydular  Eger Şehvet Aşk Olsaydı  Eşekler Aşkın Şahı Olurdu   Mevlana Celaleddin RumiKayıt Tarihi : 29.3.2002 16:14:00
23,Cahit Sıtkı Tarancı,Aşk,https://www.antoloji.com/ask-77-siiri/,Açınca baharın dişi gülleri Bir başka rüzgar eser bahçelerde Dinle çılgınca....................   Cahit Sıtkı TarancıKayıt Tarihi : 8.2.2002 05:42:00
24,Cahit Zarifoğlu,Aralık Günleri İçin Bir Aşk Denemesi,https://www.antoloji.com/aralik-gunleri-icin-bir-ask-denemesi-siiri/,Aşk bu  Kanatları yıldırımlanmış katı boğalar Ateşin saydam gövdesini kırarak Yatarak hayat dolu sarnıçların karnına Sıkı sıkıya kapalı sivri ve kıvrak gagaDelip geçecek dalıp yeryüzünü Bak istersen avuçlarıma Küçük parmağın hizasında o derin havzada Göğüs göğüse iken ikimize İki ayrı kadeh gibi doldurulmuş yudum kat'i Sesin Sırrım Gözüm palaspandıras çehremdeAşk bu  Çölün sarı sofrasında atlılar Hepsinde  Gererken parçalanan elimde  Çelik yay parçaları Ağızlarımız kum rüzgarlarıyla yanık Yiyip içmezik acıkmazık:Başkanları Uyutmasın vahalar diye Koynuna doldurmuş yılanları:/çocuk Bir tane.Dayanmış yanağını cama Karşı evin balkonuna bakıyor Orada bir çocuk Tutunmuş demirlere../İki kadeh arasında ufak kara nehrim Beni senden bölen.Suyu yakut de ki kafur Çölün arı çehrenin gamsız ölümün uzakça olduğu bir demdeDiz çökeyim söyle  Tahtın nerede Bende kaynayan sende kaynak Tıpatıp iki kristal küreAramızda ceylanımsı bir sıçrama Çalkalanır sonsuzca.Şöyle irice Bir kelime bul ok atsın döş kemiğimeÖfkemi iyi belesin öfkenAşk duraksar ve yara alır Uçak çelik rengi göğü sesiyle sokunca Alçalarak yemyeşil ekinlerin arasına  Kuru ekmek yiyen üzgün köylüleri bombalamayaİlkin küçük nir göl kan dolu ağzı /hava nasıl da yeşil/ Su mu yoksa o katı ışık mı yanakların taşıdığı Nilüferler isteklerkoca bir devAşk bu çiğnenmiş kırbaçlanmış alta alınmış Tanıyıp tutunacak bir insan arayan Gördükçe çelik kazanlarının iç kaynamasını Kaliforniyadaki silah fabrikalarını/Doların egemenliğ halkın refahı: Depolar boşalmalı/Aşk aşk bir şehir harabesi daha kazandın Kurşun kanatları gergin Fosforlu mermiler yine taze Yıldırımlanmış boğalar Havanın katı gövdesini kırarak Yararak hayat dolu sevdanın karnını Pilot ağzı zehirli bir dil Kentelenmiş çeneler arasından  Gözler ovaya başını çıkaran insanlarıHaydi aşk aşk De ki dağları delerim senin için Yıldızlar yakarışlar açık kartlar Ve haydi hoşçakalKilimin üstünde Bir ampül Bir kırbaç bir ayakkabı   Cahit ZarifoğluKayıt Tarihi : 4.3.2001 22:35:00
25,Attila İlhan,Müjgan'a Aşk Şarkıları,https://www.antoloji.com/mujgan-a-ask-sarkilari-siiri/,1dinlerdim telâşlı kanûnlardan sarışın türkçeyi nasıl da sevdim ne iştir bilmeden sevmeyi ürkek bir çilenti usulca yoklardı bahçeyi nerde tâvus kuşları nerde müjgân'ın gençliği nasıl da sevdim ne iştir bilmeden sevmeyiokşamak kumrallığını içimden uysal lambaların beyhude ıslıklarını yakınlaşan sonbaharın akşam tenhalığında birlikte duygulanmaların saklı mutluluğuyla dalgından çok daha fazla dalgın nasıl da sevdim ne iştir bilmeden sevmeyibir parça son yalnızlığa öncekiler hazırlıktır insan bırakmaz sevdiğini sevmek insanı bırakır kalırsa gözlerinin elinde yaldızı belki kalır ney üşür kanûn pırıldar udlar oldukça karanlıktır nasıl da sevdim ne iştir bilmeden sevmeyi2o akşam da lambamızı söndürmüştük nedîm ile nedîm'den bile kıskandığım sevdiğim ile son....................   Attila İlhanKayıt Tarihi : 20.1.2001 21:43:00
26,Nurullah Genç,Aşk Cefâ Ülkesinde Umudun Rüyasıdır,https://www.antoloji.com/ask-cefa-ulkesinde-umudun-ruyasidir-siiri/,"aşk ölümcül bir hülyadır anlayamadığım ey sarı gök bulutu, ey ıstırab gülşeni son bir karanfil gibi taşıyacağım seni kalbimin hüsnüyusuf mahrem bahçelerinde derindesin, rüya kadar derindeaşk ipek bir karanlıktır kollayamadığım gecenin bir vaktinde gelen çiçekler için tenhâsında kuşlar uçan sulara karışıp akmak isterim kan çölünün ıssız vâhalarından saâdet burcuna çıkmak isterim gitmeliyim buralardan seninle kalırsam, surları yıkmak isterimaşk gizemli bir şarkıdır dinleyemediğim ayrılığın arkasından duyulan gün doğuyor, neden gülemiyorum siyah bir tanyerinde beklemek yakışmaz bana geceyi eylül mü vurdu güllerimi, bilemiyorumaşk isyankâr bir korkudur sonlayamadığım gece yolculuğuna takılır ayakları özlem beyaz bir gül, açar bağrında yâr kokusu yayılsın diye kaldırımlara ölü ve gözüyaşlı bırakır çocukları arıbeyi konunca ruhun zümrüt taşına mor gülüşlü haramî çıkar dağlar başına diriltir sarı saçlı, kırılgan aynalarıaşk veremli bir türküdür söyleyemediğim nağmeleri doruklardan yayılan anılar sehpasında takıyor boynumuza kırmızı urganları kötürüm bir vâdide geziyor kurbanları her aşkı dâre çeken vefâsız leylâsıdır alır avuçlarına, öper ısırganları aşk cefâ ülkesinde umudun rüyasıdır   Nurullah GençKayıt Tarihi : 17.4.2001 23:56:00"
